0Zhe,1Zhe,2Zhe,3Zhe,4Zhe
"('file_id_api_emb_63', 990.0)","('file_id_tid_emb_5', 1132.0)","('ntcreatethreadex', 1026.0)","('file_id_tid_emb_53', 1151.0)","('file_id_tid_emb_33', 1074.0)"
"('file_id_tid_emb_6', 988.0)","('ProNE_Emb_30', 1129.0)","('ProNE_Emb_4', 1025.0)","('ProNE_Emb_12', 1149.0)","('file_id_tid_emb_58', 1074.0)"
"('registerhotkey', 980.0)","('file_id_tid_emb_34', 1126.0)","('ProNE_Emb_13', 1021.0)","('ProNE_Emb_54', 1149.0)","('ProNE_Emb_30', 1074.0)"
"('ProNE_Emb_62', 978.0)","('ProNE_Emb_36', 1125.0)","('ProNE_Emb_45', 1020.0)","('file_id_api_emb_32', 1147.0)","('ProNE_Emb_32', 1064.0)"
"('ProNE_Emb_26', 976.0)","('createactctxw', 1124.0)","('file_id_api_emb_32', 1013.0)","('file_id_tid_emb_25', 1146.0)","('file_id_tid_emb_4', 1061.0)"
"('ProNE_Emb_37', 975.0)","('ProNE_Emb_28', 1120.0)","('registerhotkey', 1012.0)","('file_id_tid_emb_18', 1141.0)","('ProNE_Emb_12', 1061.0)"
"('file_id_tid_emb_31', 969.0)","('file_id_tid_emb_26', 1119.0)","('file_id_tid_emb_21', 1011.0)","('file_id_tid_emb_43', 1131.0)","('file_id_api_emb_21', 1059.0)"
"('ProNE_Emb_58', 964.0)","('ntunmapviewofsection', 1109.0)","('ProNE_Emb_43', 1008.0)","('file_id_tid_emb_12', 1127.0)","('createactctxw', 1059.0)"
"('file_id_api_emb_32', 961.0)","('getsystemdirectoryw', 1106.0)","('ProNE_Emb_21', 1001.0)","('ProNE_Emb_36', 1127.0)","('ntunmapviewofsection', 1059.0)"
"('file_id_tid_emb_20', 961.0)","('ProNE_Emb_31', 1106.0)","('netusergetlocalgroups', 1000.0)","('file_id_tid_emb_54', 1121.0)","('getsystemmetrics', 1056.0)"
"('file_id_tid_emb_59', 959.0)","('file_id_tid_emb_24', 1105.0)","('file_id_tid_emb_16', 998.0)","('ProNE_Emb_32', 1118.0)","('api_unique', 1050.0)"
"('file_id_tid_emb_37', 956.0)","('file_id_tid_emb_37', 1102.0)","('file_id_api_emb_46', 996.0)","('file_id_tid_emb_51', 1114.0)","('ProNE_Emb_28', 1045.0)"
"('ProNE_Emb_54', 956.0)","('file_id_tid_emb_0', 1097.0)","('file_id_tid_emb_39', 993.0)","('ProNE_Emb_58', 1113.0)","('file_id_tid_emb_2', 1041.0)"
